Is there public transportation available in the block face? ,"On a scale of 1 - 4, where 1 is ""No fencing"" and 4 is ""High mesh fencing with barbed wire or spiked tops"", is there fencing and what kind? (includes all property)","On a scale of 1 - 4, where 1 is ""Very well kept / good condition"" and 4 is ""Poor / badly deteriorated condition"", in general, how would you rate the condition of buildings on the block face? (includes residential buildings, recreational facilities, manufacturing plants, business / industrial headquarters, etc)","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many cigarette or cigar butts or discarded cigarette packages  are on the sidewalk or in the gutters? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many condoms are present on the sidewalk, in the gutters, or street of block face? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how many empty beer or liquor bottles are visible in streets, yards, or alleys? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how much garbage, litter, or broken glass in the street or on the sidewalks? ","On a scale of 1-3, where 1 is ""Few or none"" and 3 is a ""Most/all of it"", how many trees are linking the street of the block face? ","On a scale of 1-5 where 1 is ""Friendly Responses / Greetings / Helpful"" and 5 is ""Treated with Suspicion"", How were you regarded by the people in the block face?",Other thoughts or comments for Image #1,Other thoughts or comments for Image #2,Other thoughts or comments for Image #3,Other thoughts or comments for Image #4,Other thoughts or comments for Image #5,Timestamp,What kinds of establishments are there on the block face? Select all that apply.,Census Tract
0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,I found it interesting because the man was very detailed and looked extremely realistic so it caught my attention. I feel that it emphasizes the importance of firefighters in the city of Oakland. ,"This building was intriguing because the architecture of this building seems old, so it stood out from the rest of the buildings on this block. At first glance, you notice that the sign says that it is a hotel, though when you take a look at the windows, it seems like it has become occupied by permanent residents. ","This picture caught my attention because of the political signs, “Oakland Stands United Against Hate” and “March for Our Lives”
For me personally, signs like these touch my heart because I feel that it is important to stand together in the Bay Area against racism and discrimination, as it has become more evident with the recent political climate. I was born and raised in the Bay Area and it makes me proud when people stand for what is right.  ",,,2018-10-21 22:08:57,"Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)",4028.0
1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,I found this graffiti on a wall in the parking lot of a residential building.,There is a Ford Bike Station and it is almost full.,This is a house for Cal's track and field team.,"Someone put a sticker saying ""eating animals"" on the stop sign, so it seems like ""STOP EATING ANIMALS.""",There is a Buddhist Temple which shows the diversity of the neighborhood. ,2018-10-21 22:10:14,"Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)",4229.0
1,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,"This art shop looked out of place next to the neighborhood, especially right across from the liquor store. 
","This was the only apparent property that was for sale on the block. It was boarded up on one side with bits of graffiti scribbled over the walls. A door had graffiti on it but was painted over. 
","The side of the block near Shattuck was more dilapidated than the rest of the block and were more likely to have bars on windows.
",,,2018-10-21 22:23:08,Liquor stores or Marijuana Dispensaries,4006.0
1,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,"It seems that the wall was not designed for locals to post signs, but it had become such a place since many signs were attached there.",There were groups of homeless people outside the restaurants whose belongings almost occupied  the street.,"There are No-parking signs on the fence, but several cars were still parked there. Besides, there were many parking spaces in the parking lot nearby.",There is a large graffiti on the wall of the parking lot which was quite conspicuous when we passed by.,The fence and iron gate shows that crimes may happen sometimes?,2018-10-22 00:01:58,"Bars and alcoholic beverage services, Eating places/restaurants, Fast food or take-out places, Liquor stores or Marijuana Dispensaries, Warehouses",4224.0
0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,"There were a few of these green dumpsters throughout the block. All of them had different ""tagging"" on them. I also thought it was interesting that there was a lot of trash on the curbs of the street, but none of the dumpsters seemed full.","There were some ""pay and display"" parking ticket machines like this on the block. The street parking was also filled up during the time I was there, so it seems that this area experiences a good number of visitors. However, I did see some people park their cars here and then walk away to a different block that seemed to have more bars and fancier-looking storefronts. ","This was one of four buildings that seemed abandoned/empty to me on this block (the one next to this had cardboard covering the windows from the inside). Both had some light ""tagging"" on the windows. This building in particular has a ""for lease"" sign on it. ","I took a picture of this truck because it seemed like someone was using it as storage space for their things. It seems like an old truck, but I'm not sure if I would classify it as ""abandoned"". There was also a lot of cigarette butts on the ground.  ","I was really surprised to find a temple on this block because it wasn't something I was expecting to find in this area. It seems to be a Buddhist temple because I also saw a small shrine to place incense sticks on the sidewalk, across the front doors. There were a few posters with Chinese descriptions on the door as well. Some of the buildings on this street also had signs written in Chinese.   ",2018-10-22 00:08:49,"Bodega deli corner-store convenience store, Eating places/restaurants, Payday lenders check cashers or pawn shops, Supermarkets/grocery stores",4031.0
1,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,View from the corner of Essex and Shattuck,View facing Shattuck Ave,Down Shattuck Ave,Residential house of Shattuck Ave,Shattuck Ave residences,2018-10-22 00:09:49,"Bars and alcoholic beverage services, Professional offices (doctor dentist lawyer accountant real estate)",4239.01
1,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,Run down warehouse with razor wire fencing ,"Run down shed, that was tagged ",Tagged Utility monitor ,Trash on Street ,Political mural painting ,2018-10-22 10:52:35,"Bars and alcoholic beverage services, Bodega deli corner-store convenience store, Liquor stores or Marijuana Dispensaries, Manufacturing, Warehouses",4027.0
1,3.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,"The current state of the road. The pavement appears dark and recently paved, lane lines and crosswalks are replaced with messy spray paint guidelines.",Tagging on the face of the trashcan. The green face appears to have been covered up before.,The mural on the west Oakland Youth Center.,"A wall leading to a small play area for the youth center. A basketball hoop lays on the other sign, with a no trespassing sign on the wall.","An empty lot sits at the end of the block, surrounded by a fence. Graffiti can be seen in the background, and trash lays on the lawn next to the sidewalk. ",2018-10-22 12:00:25,"Community center, Playgrounds",4014.0
1,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,The skin color in the graffiti was non-whites.  I thought it was due to the majority of population in this area is blacks.,"It was a residential apartment on the liquor store (where the graffiti in Image#1 was on the wall).  The face of the block is right in front of a wide road (Adeline St.), so I could imagine loud noises will bother residents. ","Inside of the block looked more like residential area (and it was clean), but there was no enough grass between the door and the street of the houses. ",,,2018-10-22 12:36:50,"Gas station, Liquor stores or Marijuana Dispensaries",4239.01
0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,"This is a general picture of the street in the 4239.01 census tract. It is relatively shaded with trees and shrubbery, and has very light traffic. There are mostly just residential houses. ","This is a picture of one of the flyers posted on the street. It depicts an event, and is written in Spanish, possibly showing that the demographic in the area is partially Spanish speaking. It seems family friendly, just like the entire street. ","Although the street is mostly clean and well-kept, there is some loose trash on the sidewalks. Most of it is cigarette butts, bits of paper and bottle caps.","This image shows a playground set in the front yard of a house. This shows that the families on this neighborhood are relatively well-off, and that there are families with young children. ",,2018-10-22 13:49:40,,4239.01
