Timestamp,Census Tract,Amount of Beer/Liquor Bottles (1 to 5 scale),Amount of Cigarette/Cigar Butts (1 to 5 scale),Amount of Condoms (1 to 5 scale),Amount of Garbage (1 to 5 scale),Abandoned Cars (Y?N),Treatment (1 (Friendly) to 5 (Suspicion) scale),Condition of Buildings (1 (Good) to 4 (Poor) scale),Graffiti (Y/N),Fenching (1 (None) to 4 (High mesh) scale),Renovations (Y/N),Types of Establishments,Amount of Trees Linked the Block Fence (1 (Few) to 3 (Most) scale),Public Transporation Available (Y/N),Private Security Visible (Y/N),Police Visible (Y/N)
10/21/2018 22:10:14,4229.0,2.0,2.0,1.0,2.0,0.0,4.0,2.0,1,2.0,1,"Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)",2.0,1,0,0
10/21/2018 22:23:08,4006.0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,1,2.0,0,Liquor stores or Marijuana Dispensaries,2.0,1,0,1
10/22/2018 0:01:58,4224.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,0,3.0,1,"Bars and alcoholic beverage services, Eating places/restaurants, Fast food or take-out places, Liquor stores or Marijuana Dispensaries, Warehouses",2.0,1,0,0
10/22/2018 0:08:49,4031.0,1.0,3.0,1.0,3.0,0.0,2.0,2.0,1,1.0,0,"Bodega deli corner-store convenience store, Eating places/restaurants, Payday lenders check cashers or pawn shops, Supermarkets/grocery stores",1.0,0,0,0
10/22/2018 0:09:49,4239.01,1.0,1.0,1.0,3.0,0.0,2.0,2.0,0,1.0,1,"Bars and alcoholic beverage services, Professional offices (doctor dentist lawyer accountant real estate)",2.0,1,1,0
10/22/2018 10:52:35,4027.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,1,4.0,0,"Bars and alcoholic beverage services, Bodega deli corner-store convenience store, Liquor stores or Marijuana Dispensaries, Manufacturing, Warehouses",2.0,1,0,0
10/22/2018 12:00:25,4014.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,1,3.0,1,"Community center, Playgrounds",1.0,1,0,1
10/22/2018 12:36:50,4239.01,3.0,1.0,1.0,3.0,0.0,2.0,2.0,1,2.0,0,"Gas station, Liquor stores or Marijuana Dispensaries",2.0,1,0,0
10/22/2018 13:49:40,4239.01,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1,2.0,0,,3.0,0,0,0
10/22/2018 23:01:24,4229.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0,2.0,1,"Banks or credit unions, Bars and alcoholic beverage services, Community center, Eating places/restaurants, Liquor stores or Marijuana Dispensaries, Public library, Post office, Schools or daycare centers, Supermarkets/grocery stores",2.0,1,1,0
10/22/2018 15:17:51,4028.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,1,2.0,1,"Community center, Warehouses",2.0,1,0,0
10/22/2018 15:25:57,4203.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,1.0,0,,2.0,0,0,0
10/22/2018 16:38:09,4005.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,0,2.0,0,,2.0,0,0,0
10/22/2018 16:56:02,4217.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0,1.0,0,Supermarkets/grocery stores,3.0,1,1,0
10/22/2018 16:57:02,4203.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,0,1.0,0,Schools or daycare centers,3.0,0,0,0
10/22/2018 17:58:19,4206.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0,1.0,0,"Parks, Playgrounds, Schools or daycare centers",3.0,0,0,0
10/22/2018 18:55:28,403.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0,2.0,1,"Banks or credit unions, Community center, Eating places/restaurants, Fast food or take-out places, Schools or daycare centers",2.0,1,0,0
10/22/2018 19:05:25,4007.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,0,3.0,0,,2.0,0,0,0
10/22/2018 20:02:54,4027.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1,3.0,0,,3.0,0,0,0
10/22/2018 20:42:07,4204.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,1.0,1,Parks,3.0,0,0,0
10/22/2018 21:09:02,4235.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0,1.0,1,Chain retail stores,2.0,1,0,0
10/23/2018 0:15:21,4007.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,0,2.0,1,,2.0,1,0,0
10/24/2018 0:17:21,4201.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,2.0,1,,3.0,0,0,0
10/22/2018 22:19:38,4204.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1,1.0,0,"Community center, Eating places/restaurants, Fast food or take-out places, Parks, Playgrounds, Schools or daycare centers, Supermarkets/grocery stores, Warehouses",1.0,1,0,0
